id,thread_number,retweets,likes,replies
977676855108026368,Thread 35,86,163,2
977678174120275969,Thread 35,92,163,4
977680353119760384,Thread 35,106,172,5
977681061600612352,Thread 35,73,154,1
977682298622459904,Thread 35,133,296,10
977683891220721665,Thread 35,164,295,20
976909732467310592,Thread 36,8,16,6
976923731934134272,Thread 36,0,2,1
976923733553287173,Thread 36,0,2,1
976923735805571073,Thread 36,0,1,1
976923741027520519,Thread 36,0,0,2
976923737449693184,Thread 36,0,2,1
976923739374915584,Thread 36,0,0,1
976923742487154690,Thread 36,1,0,1
976923745028886528,Thread 36,0,1,1
976923746643709952,Thread 36,0,0,1
976923748728262658,Thread 36,0,0,1
976923750431014912,Thread 36,1,0,2
976923752004050944,Thread 36,0,0,1
976923757892853760,Thread 36,0,1,1
976923754273046528,Thread 36,0,0,2
976923755942498310,Thread 36,0,3,1
976923759796944897,Thread 36,0,1,2
976923761151741952,Thread 36,0,1,1
976923763668389888,Thread 36,0,0,1
976923765065048066,Thread 36,3,6,1
953874159691534336,Thread 37,7,9,2
953874161755131905,Thread 37,0,0,1
953874165366390784,Thread 37,0,1,1
953874163034415105,Thread 37,0,0,1
953874163982323712,Thread 37,0,0,1
953874166733733888,Thread 37,0,1,1
953874169166532608,Thread 37,0,1,1
953874171829932032,Thread 37,0,0,1
953874173230747648,Thread 37,0,1,1
953874178259681280,Thread 37,0,1,1
953874175243976709,Thread 37,0,0,1
953874176573689856,Thread 37,0,0,1
953874181602578432,Thread 37,0,0,1
953874182680563713,Thread 37,0,1,1
953874179920748544,Thread 37,0,0,1
953874184286949376,Thread 37,2,3,2
953875718215274501,Thread 37,0,2,1
953297197705121792,Thread 38,11,9,1
953297200376934401,Thread 38,2,3,1
953297204210470912,Thread 38,3,3,1
953297205527498753,Thread 38,3,3,1
953297203061288961,Thread 38,3,3,1
953297214285197312,Thread 38,2,2,1
953297211152125953,Thread 38,4,3,1
953297213282832389,Thread 38,2,2,1
953297218060025856,Thread 38,2,2,1
953297216864694272,Thread 38,2,2,1
953297215363141632,Thread 38,2,2,1
953297218999644160,Thread 38,2,2,1
953297220077486080,Thread 38,2,2,1
953297221117710336,Thread 38,2,2,1
953297222069780486,Thread 38,4,4,1
953297226603909121,Thread 38,3,3,2
953297227887325191,Thread 38,20,23,3
953361571375386624,Thread 38,0,0,1
976988852995919873,Thread 39,10,30,5
